Date,Time,Type,Description,Amount,Balance/Promo,Notes
01/10/2025,1:30 AM,Deposit,Made via Bank Transfer,25.00,25.00,
01/11/2025,1:34 PM,Lineup Placed,2-Pick Power (Lamar Jackson; Russell Wilson),-5.00,20.00,
01/15/2025,5:27 PM,Lineup Placed,3-Pick Flex - Protected Play (Patrick Mahomes; C.J. Stroud; Jared Goff),-10.00,10.00,
01/15/2025,5:30 PM,Lineup Placed,3-Pick Power (LeBron James; Al Horford; Desmond Bane),-5.00,5.00,
01/15/2025,5:46 PM,Lineup Placed,2-Pick Power (Will Howard; Riley Leonard),-5.00,0.00,
01/18/2025,8:28 PM,Lineup Won,3-Pick Flex - Protected Play (Patrick Mahomes; C.J. Stroud; Jared Goff),12.50,12.50,
01/20/2025,8:03 PM,Lineup Won,2-Pick Power (Will Howard; Riley Leonard),11.25,23.75,
01/22/2025,2:45 PM,Lineup Placed,3-Pick Power (Jalen Hurts; Jake Elliott; Jayden Daniels),-20.00,3.75,
02/05/2025,1:43 PM,Deposit,Made via Apple Pay,10.00,13.75,
02/05/2025,1:43 PM,Lineup Placed,2-Pick Power (Victor Wembanyama; Devin Booker),-5.00,8.75,
02/05/2025,1:46 PM,Lineup Placed,2-Pick Power (Patrick Mahomes; Saquon Barkley),-8.69,0.06,
02/09/2025,1:24 PM,Deposit,Made via Apple Pay,12.00,12.06,
02/09/2025,1:30 PM,Lineup Placed,2-Pick Power (Patrick Mahomes; A.J. Brown),-7.00,5.05,
02/09/2025,1:37 PM,Lineup Placed,2-Pick Power (Jalen Hurts; Patrick Mahomes),-5.05,0.01,
02/09/2025,9:26 PM,Lineup Won,2-Pick Power (Patrick Mahomes; A.J. Brown),28.00,28.01,
02/09/2025,9:34 PM,Lineup Won,2-Pick Power (Jalen Hurts; Patrick Mahomes),15.15,43.16,
02/10/2025,7:46 PM,Lineup Placed,2-Pick Power - Protected Play (LeBron James; Keyonte George),-8.00,35.15,
02/10/2025,10:22 PM,Lineup Placed,2-Pick Power (Randal Kolo Muani; Rodrygo),-8.00,27.16,
02/10/2025,10:27 PM,Promo Added,Protected Play,8.00,11.00 (promo),
02/11/2025,12:26 AM,Withdrawn,Sent to Bank Account,-27.16,0.00,
